temperature,rain,time
5.35,0.245,04/04/2018 15:00
5.78,0.35,04/04/2018 18:00
5.62,0,04/04/2018 21:00
4.72,0,05/04/2018 00:00
3.89,0,05/04/2018 03:00
3.55,0,05/04/2018 06:00
6.72,0,05/04/2018 12:00
7.51,0,05/04/2018 11:00
8.12,0,05/04/2018 12:00
7.51,0,05/04/2018 12:00
8.01,0,05/04/2018 12:30
8.01,0,05/04/2018 13:00
7.51,0,05/04/2018 13:30
7.49,0,05/04/2018 14:00
7.51,0,05/04/2018 14:30
7.51,0,05/04/2018 15:00
7.56,0,05/04/2018 16:00
7.56,0,05/04/2018 16:30
7.63,0,05/04/2018 17:00
7.56,0,05/04/2018 17:30
7.58,0,05/04/2018 17:30
7.0,0,05/04/2018 18:00
7.0,0,05/04/2018 18:30
7.0,0,05/04/2018 19:00
7.0,0,05/04/2018 19:30
7.0,0,05/04/2018 20:00
7.0,0,05/04/2018 20:30
7.0,0,05/04/2018 21:00
7.0,0,05/04/2018 21:30
7.0,0,05/04/2018 22:30
7.0,0,05/04/2018 23:00
7.0,0,05/04/2018 23:30
7.0,0,06/04/2018 00:00
7.0,0,06/04/2018 00:30
7.0,0,06/04/2018 00:30
6.51,0,06/04/2018 01:00
6.58,0,06/04/2018 01:30
6.51,0,06/04/2018 02:00
6.58,0,06/04/2018 02:30
6.51,0,06/04/2018 03:00
7.0,0,06/04/2018 04:00
6.56,0,06/04/2018 04:30
7.0,0,06/04/2018 05:00
7.0,0,06/04/2018 05:30
7.0,0,06/04/2018 05:30
7.0,0,06/04/2018 06:30
7.0,0,06/04/2018 07:00
7.51,0,06/04/2018 07:00
7.51,0,06/04/2018 07:30
7.51,0,06/04/2018 08:00
7.51,0,06/04/2018 08:30
8.01,0,06/04/2018 09:00
8.01,0,06/04/2018 09:30
7.56,0,06/04/2018 10:30
7.56,0,06/04/2018 11:00
7.56,0,06/04/2018 11:30
8.01,0,06/04/2018 11:30
9.01,0,06/04/2018 12:00
9.52,0,06/04/2018 12:30
10.01,0,06/04/2018 13:00
11.52,0,06/04/2018 13:30
11.51,0,06/04/2018 14:00
12.0,0,06/04/2018 14:30
11.49,0,06/04/2018 15:00
12.44,0,06/04/2018 16:00
12.44,0,06/04/2018 16:30
12.0,0,06/04/2018 17:00
12.0,0,06/04/2018 17:30
12.0,0,06/04/2018 18:00
11.0,0,06/04/2018 18:00
11.42,0,06/04/2018 18:30
10.49,0,06/04/2018 19:00
10.42,0,06/04/2018 19:30
10.49,0,06/04/2018 20:00
10.0,0,06/04/2018 20:30
9.49,0,06/04/2018 21:00
9.42,0,06/04/2018 21:30
10.0,0,06/04/2018 21:30
8.34,0,06/04/2018 23:30
8.34,0,06/04/2018 23:56
9.0,0,07/04/2018 00:00
9.0,0,07/04/2018 00:00
9.0,0,07/04/2018 00:00
7.97,0,07/04/2018 02:00
7.97,0,07/04/2018 02:30
7.97,0,07/04/2018 03:00
7.97,0,07/04/2018 03:30
7.97,0,07/04/2018 04:00
7.5,0,07/04/2018 04:00
7.51,0,07/04/2018 04:00
6.5,0,07/04/2018 05:00
6.51,0,07/04/2018 05:00
6.01,0,07/04/2018 06:00
6.13,0,07/04/2018 06:30
6.01,0,07/04/2018 07:00
6.56,0,07/04/2018 07:30
7.5,0,07/04/2018 08:00
7.56,0,07/04/2018 08:30
8.5,0,07/04/2018 09:00
8.56,0,07/04/2018 09:30
9.0,0,07/04/2018 10:00
9.44,0,07/04/2018 10:30
11.0,0,07/04/2018 11:00
11.0,0,07/04/2018 11:30
11.0,0,07/04/2018 11:30
11.0,0,07/04/2018 12:30
11.01,0,07/04/2018 13:00
10.69,0,07/04/2018 13:30
11.01,0,07/04/2018 14:00
