,Station No.,Status,Time,Stands,Bikes Avail,Spaces Avail,Bank,human_readible,weather_tamp,weather_rain,weather_temperature,weather_time
124605,18.0,OPEN,1521146491000,30,12,18,1,15/03/2018 20:41:31,1521147600000.0,0.09,7.38,15/03/2018 21:00
124606,32.0,OPEN,1521146647000,30,3,27,1,15/03/2018 20:44:07,1521147600000.0,0.09,7.38,15/03/2018 21:00
124607,52.0,OPEN,1521146562000,32,0,32,0,15/03/2018 20:42:42,1521147600000.0,0.09,7.38,15/03/2018 21:00
124608,48.0,OPEN,1521146431000,40,28,12,0,15/03/2018 20:40:31,1521147600000.0,0.09,7.38,15/03/2018 21:00
124610,43.0,OPEN,1521146348000,30,4,26,1,15/03/2018 20:39:08,1521147600000.0,0.09,7.38,15/03/2018 21:00
124612,31.0,OPEN,1521146675000,20,16,4,0,15/03/2018 20:44:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
124613,98.0,OPEN,1521146578000,30,2,28,1,15/03/2018 20:42:58,1521147600000.0,0.09,7.38,15/03/2018 21:00
124614,14.0,OPEN,1521146411000,30,26,4,0,15/03/2018 20:40:11,1521147600000.0,0.09,7.38,15/03/2018 21:00
124615,1.0,OPEN,1521146627000,31,7,24,0,15/03/2018 20:43:47,1521147600000.0,0.09,7.38,15/03/2018 21:00
124616,23.0,OPEN,1521146601000,30,15,15,1,15/03/2018 20:43:21,1521147600000.0,0.09,7.38,15/03/2018 21:00
124617,68.0,OPEN,1521146653000,40,6,34,1,15/03/2018 20:44:13,1521147600000.0,0.09,7.38,15/03/2018 21:00
124619,87.0,OPEN,1521146656000,38,27,11,1,15/03/2018 20:44:16,1521147600000.0,0.09,7.38,15/03/2018 21:00
124620,84.0,OPEN,1521146652000,30,29,1,0,15/03/2018 20:44:12,1521147600000.0,0.09,7.38,15/03/2018 21:00
124621,90.0,CLOSED,1521146444000,40,0,0,0,15/03/2018 20:40:44,1521147600000.0,0.09,7.38,15/03/2018 21:00
124622,11.0,OPEN,1521146516000,30,0,30,0,15/03/2018 20:41:56,1521147600000.0,0.09,7.38,15/03/2018 21:00
124623,17.0,OPEN,1521146415000,20,11,9,0,15/03/2018 20:40:15,1521147600000.0,0.09,7.38,15/03/2018 21:00
124624,45.0,OPEN,1521146587000,30,24,6,0,15/03/2018 20:43:07,1521147600000.0,0.09,7.38,15/03/2018 21:00
124625,72.0,OPEN,1521146621000,31,3,28,0,15/03/2018 20:43:41,1521147600000.0,0.09,7.38,15/03/2018 21:00
124627,91.0,OPEN,1521146546000,30,26,4,0,15/03/2018 20:42:26,1521147600000.0,0.09,7.38,15/03/2018 21:00
124628,99.0,OPEN,1521146403000,30,20,10,0,15/03/2018 20:40:03,1521147600000.0,0.09,7.38,15/03/2018 21:00
124629,9.0,OPEN,1521146327000,24,13,11,0,15/03/2018 20:38:47,1521147600000.0,0.09,7.38,15/03/2018 21:00
124630,67.0,OPEN,1521146495000,40,18,22,0,15/03/2018 20:41:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
124632,62.0,OPEN,1521146486000,40,4,36,0,15/03/2018 20:41:26,1521147600000.0,0.09,7.38,15/03/2018 21:00
124633,5.0,OPEN,1521146640000,40,25,15,0,15/03/2018 20:44:00,1521147600000.0,0.09,7.38,15/03/2018 21:00
124634,97.0,OPEN,1521146676000,40,31,9,1,15/03/2018 20:44:36,1521147600000.0,0.09,7.38,15/03/2018 21:00
124636,77.0,OPEN,1521146439000,29,0,29,0,15/03/2018 20:40:39,1521147600000.0,0.09,7.38,15/03/2018 21:00
124637,73.0,OPEN,1521146539000,30,17,13,1,15/03/2018 20:42:19,1521147600000.0,0.09,7.38,15/03/2018 21:00
124638,4.0,OPEN,1521146645000,20,6,14,0,15/03/2018 20:44:05,1521147600000.0,0.09,7.38,15/03/2018 21:00
124639,49.0,OPEN,1521146673000,40,34,6,0,15/03/2018 20:44:33,1521147600000.0,0.09,7.38,15/03/2018 21:00
124640,19.0,OPEN,1521146377000,30,10,20,0,15/03/2018 20:39:37,1521147600000.0,0.09,7.38,15/03/2018 21:00
124641,7.0,OPEN,1521146622000,29,3,26,1,15/03/2018 20:43:42,1521147600000.0,0.09,7.38,15/03/2018 21:00
124642,60.0,OPEN,1521146581000,30,18,12,1,15/03/2018 20:43:01,1521147600000.0,0.09,7.38,15/03/2018 21:00
124643,102.0,OPEN,1521146351000,40,8,32,0,15/03/2018 20:39:11,1521147600000.0,0.09,7.38,15/03/2018 21:00
124644,38.0,OPEN,1521146588000,40,31,9,0,15/03/2018 20:43:08,1521147600000.0,0.09,7.38,15/03/2018 21:00
124646,58.0,OPEN,1521146674000,40,2,38,1,15/03/2018 20:44:34,1521147600000.0,0.09,7.38,15/03/2018 21:00
124647,66.0,OPEN,1521146624000,40,13,26,0,15/03/2018 20:43:44,1521147600000.0,0.09,7.38,15/03/2018 21:00
124648,101.0,OPEN,1521146678000,30,6,24,0,15/03/2018 20:44:38,1521147600000.0,0.09,7.38,15/03/2018 21:00
124652,16.0,OPEN,1521146628000,20,10,10,0,15/03/2018 20:43:48,1521147600000.0,0.09,7.38,15/03/2018 21:00
124653,96.0,OPEN,1521146522000,30,17,13,0,15/03/2018 20:42:02,1521147600000.0,0.09,7.38,15/03/2018 21:00
124654,82.0,OPEN,1521146650000,22,10,12,0,15/03/2018 20:44:10,1521147600000.0,0.09,7.38,15/03/2018 21:00
124655,76.0,OPEN,1521146457000,38,13,25,0,15/03/2018 20:40:57,1521147600000.0,0.09,7.38,15/03/2018 21:00
124656,71.0,OPEN,1521146594000,40,2,38,1,15/03/2018 20:43:14,1521147600000.0,0.09,7.38,15/03/2018 21:00
124657,79.0,OPEN,1521146459000,27,14,13,0,15/03/2018 20:40:59,1521147600000.0,0.09,7.38,15/03/2018 21:00
124658,69.0,OPEN,1521146675000,40,4,36,0,15/03/2018 20:44:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
124659,25.0,OPEN,1521146470000,30,0,30,0,15/03/2018 20:41:10,1521147600000.0,0.09,7.38,15/03/2018 21:00
124660,51.0,OPEN,1521146619000,40,21,19,0,15/03/2018 20:43:39,1521147600000.0,0.09,7.38,15/03/2018 21:00
124661,37.0,OPEN,1521146632000,30,1,28,1,15/03/2018 20:43:52,1521147600000.0,0.09,7.38,15/03/2018 21:00
124664,94.0,OPEN,1521146322000,40,36,4,0,15/03/2018 20:38:42,1521147600000.0,0.09,7.38,15/03/2018 21:00
124666,93.0,OPEN,1521146546000,40,39,1,0,15/03/2018 20:42:26,1521147600000.0,0.09,7.38,15/03/2018 21:00
